Exp_time,Van,OC6,FP1_emit1
11.04400833,0,0,0.037880314
11.06069167,0,0,0.037060621
11.07736944,0,0,0.037431074
11.09404722,0,0,0.036865791
11.110725,0,0,0.037593508
11.12740278,0,0,0.037732283
11.14408333,0,0,0.036528329
11.16076111,0,0,0.038047756
11.17744167,0,0,0.038581339
11.19411667,0,0,0.03845614
11.21080556,0,0,0.037227046
11.22748333,0,0,0.037090955
11.24416389,0,0,0.037125826
11.26084444,0,0,0.037504909
11.27752222,0,0,0.037160254
11.29420278,0,0,0.037387302
11.31088333,0,0,0.037687952
11.32757222,0,0,0.037328593
11.34425278,0,0,0.037511145
11.36092778,0,0,0.037108318
11.37760833,0,0,0.036813963
11.39428333,0,0,0.037570155
11.41096111,0,0,0.037994869
11.42764167,0,0,0.038469789
11.44432222,0,0,0.038162102
11.46102778,0,0,0.037090433
11.47770556,0,0,0.037541528
11.49438611,0,0,0.037759893
11.51106667,0,0,0.037671681
11.52774444,0,0,0.037578288
11.544425,0,0,0.037422037
11.56110833,0,0,0.036942365
11.57778889,0,0,0.036665472
11.59446944,0,0,0.037204059
11.61114722,0,0,0.036262698
11.62783889,0,0,0.036571698
11.64451944,0,0,0.03744869
11.66119722,0,0,0.037285795
11.67788056,0,0,0.037071305
11.69455833,0,0,0.037777481
11.71123333,0,0,0.036999364
11.72791111,0,0,0.037718308
11.74459444,0,0,0.037046666
11.76127222,0,0,0.037149356
11.77795278,0,0,0.037406644
11.79464722,0,0,0.036773283
11.81134722,0,0,0.036782169
11.82803611,0,0,0.037617757
11.84471667,0,0,0.037701743
11.86140278,0,0,0.036842105
11.87808333,0,0,0.036465138
11.89476111,0,0,0.038518104
11.91143611,0,0,0.037164531
11.92811389,0,0,0.038547125
11.94479167,0,0,0.037820958
11.96147222,0,0,0.037557756
11.97815278,0,0,0.037055615
11.99485,0,0,0.036928084
12.01152778,0,0,0.036935019
12.02820278,0,0,0.037117632
12.04489722,0,0,0.036756162
12.06158056,0,0,0.037255145
12.07827222,0,0,0.037290476
12.09495278,0,0,0.037512716
12.11163333,0,0,0.037884346
12.12831389,0,0,0.037640149
12.14499167,0,0,0.039144288
12.16168611,0,0,0.038247863
12.17838611,0,0,0.037725381
12.19506667,0,0,0.037718997
12.21174722,0,0,0.03775139
12.22843333,0,0,0.037547272
12.24512778,0,0,0.036777806
12.26180556,0,0,0.037692516
12.27848333,0,0,0.037365963
12.29516389,0,0,0.037762616
12.31184444,0,0,0.037787043
12.32853889,0,0,0.037787043
12.34521667,0,0,0.037274168
12.36191111,0,0,0.036531875
12.37859444,0,0,0.036784088
12.39527222,0,0,0.03737904
12.41195278,0,0,0.037155709
12.42863333,0,0,0.037774637
12.44530833,0,0,0.037351334
12.46198611,0,0,0.037851453
12.47866667,0,0,0.037502442
12.49535,0,0,0.037304611
12.51203056,0,0,0.038375663
12.52871111,0,0,0.037490338
12.5454,0,0,0.037463791
12.5621,0,0,0.038324908
12.57878333,0,0,0.037843074
12.59546667,0,0,0.036962787
12.61215556,0,0,0.036967113
12.62884167,0,0,0.036968917
12.64551667,0,0,0.036287549
12.66219722,0,0,0.037884615
12.67888056,0,0,0.038008565
12.69555833,0,0,0.037429944
12.71223333,0,0,0.037848182
12.72893611,0,0,0.037730634
12.74561389,0,0,0.038179769
12.76229167,0,0,0.037719058
12.77897222,0,0,0.037970314
12.79565278,0,0,0.03816952
12.81233889,0,0,0.037908321
12.82902222,0,0,0.037255029
12.84570278,0,0,0.036913386
12.86240556,0,0,0.037193469
12.87908333,0,0,0.037368253
12.89576389,0,0,0.037982196
12.91244167,0,0,0.036754927
12.929125,0,0,0.036746809
12.94581389,0,0,0.037189828
12.96250833,0,0,0.038224836
12.97918333,0,0,0.037846093
12.99586389,0,0,0.037530506
13.01254167,0,0,0.037840427
13.02922222,0,0,0.037411594
13.0459,0,0,0.038628133
13.06258333,0,0,0.038138825
