exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,LED_395nm_setpoint,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
2102.28,0.04114627212283784,0.5,8450.0,37.0,0.1585499999999368,32.0,33.5625,36.89000000000004,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7750.0,0.04838709677419355,0.019096774193548386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.06015238871633284
2162.33,0.041843723170944896,0.5,8450.0,37.0,0.1997499999999428,32.0,33.5625,36.97000000000003,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7776.0,0.04848251028806584,0.01838991769547325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.1075701825720658
2222.37,0.042142698524485905,0.5,8450.0,37.0,0.1735499999999365,32.0,33.5625,37.110000000000014,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7819.0,0.04757641642153728,0.01918403887965213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.12355059864175624
2282.42,0.04451909684747236,0.5,8450.0,37.0,0.16384999999993027,31.875,33.5,36.89000000000004,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7786.0,0.04867711276650398,0.018623169791934242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.2819434576246397
2342.46,0.0445190552896046,0.5,8450.0,37.0,0.15234999999993903,32.0,33.5625,37.03000000000003,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7769.0,0.048397477152786715,0.01879263740507144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.2678434842898879
2402.51,0.04660515341526759,0.5,8450.0,37.0,0.16204999999992853,32.0625,33.5,36.93000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7790.0,0.04826700898587933,0.018741976893453145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.3918327612418279
2462.57,0.04798417181776979,0.5,8450.0,37.0,0.13734999999993677,31.9375,33.5,37.05000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7813.0,0.048252911813643926,0.018942787661589657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.4597213613889251
2522.61,0.04722963317799582,0.5,8450.0,37.0,0.1752499999999273,31.9375,33.4375,36.89000000000004,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7855.0,0.04812221514958625,0.01871419478039465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.38918623661252677
2582.68,0.04949624234470688,0.5,8450.0,37.0,0.18444999999993653,31.9375,33.4375,36.93000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7863.0,0.048200432404934504,0.01856797659926237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.5103526366918474
2642.76,0.04931998549998808,0.5,8450.0,37.0,0.179449999999926,31.9375,33.375,36.97000000000003,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7866.0,0.04741927281973048,0.018433765573353675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.4741328943546322
2702.84,0.05055589003026421,0.5,8450.0,37.0,0.15354999999993366,31.875,33.3125,36.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7835.0,0.048500319081046586,0.018379068283343968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.5246764694727395
2762.91,0.05138991519302473,0.5,8450.0,37.0,0.18034999999992432,31.9375,33.25,36.870000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7858.0,0.047976584372613894,0.018707050139984728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.5475301254925036
2822.98,0.0515164967567101,0.5,8450.0,37.0,0.13294999999992138,31.875,33.25,37.03000000000003,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7837.0,0.04823274212070946,0.01913997703202756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.5275340122446459
2883.07,0.052731524470331234,0.5,8450.0,37.0,0.18384999999993193,31.9375,33.25,36.73000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7906.0,0.048064760941057424,0.018719959524411838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.5710914583762484
2943.11,0.0530611569785642,0.5,8450.0,37.0,0.16294999999992082,31.875,33.1875,36.97000000000003,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7843.0,0.04806834119597093,0.01874282799948999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.5612319541783855
3003.15,0.05399943177485231,0.5,8450.0,37.0,0.19324999999992082,31.875,33.125,36.79000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7903.0,0.04795647222573706,0.018347462988738454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.5857554672192037
3063.22,0.05440628839305287,0.5,8450.0,37.0,0.13584999999992783,31.75,33.1875,36.85000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7844.0,0.0479347271800102,0.018485466598674147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.578986350320634
3123.26,0.05555224141131976,0.5,8450.0,37.0,0.15054999999992782,31.875,33.125,36.870000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7888.0,0.048427991886409734,0.018635902636916835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.6125693990102064
3183.3,0.0567978545505157,0.5,8450.0,37.0,0.19414999999991914,31.875,33.125,36.870000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7900.0,0.04759493670886076,0.01848101265822785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.6484649939760183
3243.35,0.05710385403841233,0.5,8450.0,37.0,0.1591499999999217,31.8125,33.125,36.870000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7914.0,0.047637098812231486,0.01819560272934041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.6321609172658157
