exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,OC6 (nM),IPTG (uM),,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,Background,Background Corrected,Post Induction Average,Normalised FP2,FP2 Moving Average,mScarlet Signal (AU),FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate,,,OC6 (nM),IPTG (uM)
0.78,-0.001674244,0.5,7176,37,0.1794,32.1875,33.875,36.81,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9518,0.039188905,0.015969742,4064,0.049458661,,-0.000314092,,-0.002554808,-0.001989588,0,0.03617126,3892,0.023124358,0,0,0,0,0,5,5.348707905,4.019966242,0.001116657,0,0
0.8,0.003673128,0.5,7176,37,0.2162,32.1875,33.875,36.93,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9410,0.039107333,0.015834219,4068,0.049901672,,0.000128918,,0.001048616,-0.002002445,0,0.036873156,3859,0.02306297,0,0,0,0,0,5,5.348707905,4.027896526,0.00111886,0,0
0.82,0.006556193,0.5,7176,37,0.1944,32.1875,33.9375,36.73,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9405,0.039340776,0.01573631,4109,0.049403748,,-0.000369005,,-0.003001472,-0.00246822,0,0.036018496,3974,0.022395571,0,0,0,0,0,5,6.819372532,4.022465481,0.001117352,0,0
0.83,0.002641827,0.5,7176,37,0.1906,32.25,33.875,36.81,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9384,0.039322251,0.015771526,4084,0.049461312,,-0.000311441,,-0.002533245,-0.002679477,0,0.035994123,3878,0.023207839,0,0,0,0,0,5,3.75158568,4.40263717,0.001222955,0,0
0.85,0.010936597,0.5,7176,37,0.1894,32.25,33.875,36.79,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9332,0.039327047,0.01575225,4069,0.049397886,,-0.000374867,,-0.003049148,-0.001780096,0,0.036618334,3879,0.023201856,0,0,0,0,0,5,7.825938204,3.995155363,0.001109765,0,0
0.87,6.30E-05,0.5,7176,37,0.1991,32.25,33.8125,37.01,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9396,0.039272031,0.015857812,4112,0.049610895,,-0.000161858,,-0.001316547,-0.002010812,0,0.036478599,3904,0.023053279,0,0,0,0,0,5,-8.035067425,3.930299085,0.00109175,0,0
0.88,0.008035967,0.5,7176,37,0.1994,32.1875,33.8125,37.11,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9745,0.038378656,0.015597742,4128,0.049418605,,-0.000354149,,-0.002880628,-0.001909399,0,0.036337209,3931,0.023403714,0,0,0,0,0,5,6.911832492,3.865442806,0.001073734,0,0
0.9,0.007780428,0.5,7176,37,0.2527,32.1875,33.8125,37.01,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9508,0.038599074,0.015671014,4090,0.049388753,,-0.000384,,-0.003123439,-0.0020705,0,0.03594132,3917,0.022210876,0,0,0,0,0,5,6.469292969,3.800586528,0.001055718,0,0
0.92,0.007448667,0.5,7176,37,0.1985,32.25,33.75,36.87,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9527,0.039151884,0.015744726,4151,0.04938569,,-0.000387063,,-0.003148352,-0.001979299,0,0.036135871,3917,0.023232065,0,0,0,0,0,5,6.015099655,3.735730249,0.001037703,0,0
0.93,0.004395576,0.5,7176,37,0.2285,32.1875,33.8125,36.93,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9510,0.039221872,0.016193481,4097,0.049792531,,1.98E-05,,0.000160873,-0.001892394,0,0.036123993,3932,0.022380468,0,0,0,0,0,5,4.132035257,3.624330789,0.001006759,0,0
