exp_time,od_measured,Van,OC6,IPTG,FP1_emit1,FP2_emit1,growth_rate
105399.31,0.509358288,5.5,139,0,0.052405692,0.044991966,1.131992842
105459.36,0.513860325,5.5,139,0,0.050498015,0.044606362,1.101792642
105519.4,0.526462141,5.5,139,0,0.050148307,0.044963103,1.119386809
105579.44,0.530667383,5.5,139,0,0.050918489,0.044965278,1.087285488
105639.58,0.537355863,5.5,139,0,0.049801445,0.044725588,1.070496616
105699.63,0.564104579,5.5,139,0,0.050416187,0.045408336,1.162709071
105759.69,0.553647365,5.5,139,0,0.051360996,0.044671782,1.162709071
105819.76,0.527941229,5.5,139,0,0.049170732,0.044474168,1.162709071
105879.83,0.494616745,5.5,139,0,0.04996146,0.045343368,1.162709071
105939.9,0.456752793,5.5,139,0,0.050645113,0.04513426,1.162709071
105999.96,0.476599668,5.5,139,0,0.052949828,0.045609625,1.162709071
106060.01,0.465802964,5.5,139,0,0.049803782,0.044432255,1.162709071
106120.08,0.507136975,5.5,139,0,0.050707291,0.044784173,1.162709071
106180.12,0.495707005,5.5,139,0,0.050042711,0.043973099,1.162709071
106240.17,0.491636233,5.5,139,0,0.048036059,0.044467787,1.162709071
106300.21,0.514649021,5.5,139,0,0.04820578,0.045111462,1.241811844
106360.26,0.522901782,5.5,139,0,0.050606294,0.045510672,1.227446734
106420.32,0.566831584,5.5,139,0,0.049724482,0.044938017,1.408080141
106480.36,0.546983233,5.5,139,0,0.051969405,0.044732297,1.408080141
106540.41,0.498547199,5.5,139,0,0.050163047,0.045139539,1.408080141
106600.45,0.458916582,5.5,139,0,0.051508406,0.044665012,1.408080141
106660.5,0.467593685,5.5,139,0,0.051217077,0.044025157,1.408080141
106720.54,0.468732558,5.5,139,0,0.050219756,0.04516625,1.408080141
106780.58,0.493351581,5.5,139,0,0.050128351,0.045563549,1.408080141
106840.65,0.505115698,5.5,139,0,0.050929962,0.044776119,1.408080141
106900.7,0.498884134,5.5,139,0,0.050377478,0.04466987,1.408080141
106960.76,0.51714531,5.5,139,0,0.050418994,0.045342272,1.44552621
107020.82,0.520332793,5.5,139,0,0.049829584,0.044932601,1.391683986
107080.86,0.532896761,5.5,139,0,0.049392551,0.044773358,1.393677141
107140.93,0.568663129,5.5,139,0,0.049261404,0.045017245,1.518874806
107201,0.540329411,5.5,139,0,0.048215404,0.045157967,1.518874806
107261.04,0.508678686,5.5,139,0,0.052106014,0.045488441,1.518874806
107321.08,0.475083053,5.5,139,0,0.048316351,0.044807966,1.518874806
107381.13,0.44486745,5.5,139,0,0.050865635,0.044505711,1.518874806
107441.2,0.451684243,5.5,139,0,0.050316838,0.044827586,1.518874806
107501.26,0.47033776,5.5,139,0,0.048770204,0.044189853,1.518874806
107561.3,0.473455206,5.5,139,0,0.050371471,0.044674768,1.518874806
107621.34,0.493464514,5.5,139,0,0.051697649,0.044519333,1.518874806
