exp_time,od_measured,Van,OC6 ,IPTG,FP1_emit1,FP3_emit1
18858.21,0.544150009,0,0,0,0.048280328,0.031806134
18918.29,0.536311601,0,0,0,0.0483766,0.032796429
18978.36,0.548233905,0,0,0,0.049116209,0.03226426
19038.42,0.543376307,0,0,0,0.048060826,0.032324751
19098.49,0.527850466,0,0,0,0.048832596,0.032647004
19158.55,0.478159606,0,0,0,0.049630581,0.032374867
19218.61,0.4255274,0,0,0,0.048723354,0.031654982
19278.66,0.433924286,0,0,0,0.049167136,0.032217309
19338.71,0.442074106,0,0,0,0.048713524,0.032711218
19398.77,0.463347676,0,0,0,0.049329889,0.031863262
19458.82,0.462922743,0,0,0,0.049090629,0.031732232
19518.86,0.475986858,0,0,0,0.048677249,0.032063294
19578.93,0.501374144,0,0,0,0.048761788,0.032349949
19638.99,0.474991993,0,0,0,0.048431358,0.032634972
19699.05,0.494218267,0,0,0,0.048069231,0.03252359
19759.1,0.501808006,0,0,0,0.048826935,0.033052761
19819.16,0.495826694,0,0,0,0.047943715,0.032283311
19879.23,0.512618168,0,0,0,0.048694889,0.032187125
19939.27,0.510839005,0,0,0,0.048321759,0.031746032
19999.35,0.514800256,0,0,0,0.048613182,0.03307393
20059.39,0.526363979,0,0,0,0.047496791,0.032381682
20119.47,0.535031528,0,0,0,0.048591858,0.032485323
20179.51,0.535356904,0,0,0,0.04787828,0.032774811
20239.59,0.529245033,0,0,0,0.048475144,0.032167571
20299.64,0.534368007,0,0,0,0.047755688,0.032739701
20359.68,0.543062033,0,0,0,0.048252228,0.03237618
20419.75,0.560955851,0,0,0,0.047136038,0.032724643
20479.79,0.505399457,0,0,0,0.048702777,0.032283938
20539.84,0.484509546,0,0,0,0.048581774,0.032942603
20599.9,0.457692707,0,0,0,0.049185538,0.032479322
20659.94,0.455545066,0,0,0,0.049176433,0.032139202
20720.01,0.46807719,0,0,0,0.048479374,0.032271497
20780.05,0.493957124,0,0,0,0.048773145,0.031547017
20840.15,0.507573504,0,0,0,0.048541527,0.031787811
20900.2,0.485715945,0,0,0,0.048241133,0.031912745
