Time,Van,OC6,IPTG,Sponge Circuit + mutagenised mScarlet-I,Sponge Circuit + mScarlet-I,Sponge Circuit,Negative Control Sponge Circuit + mScarlet
5.04,0,0,0,0.036112122,0.037049512,3.71E-02,0.037989182
5.05,0,0,0,0.036078487,0.036909041,0.036872385,0.038564363
5.07,0,0,0,0.036981901,0.037720765,0.03660284,0.038005203
5.09,0,0,0,0.036732796,0.038876028,0.036750607,0.036953018
5.1,0,0,0,0.037964942,0.038318912,0.03656941,0.038056833
5.12,0,0,0,0.037791432,0.037699443,0.036320994,0.037719298
5.14,0,0,0,0.037157492,0.03779915,0.036178632,0.037497714
5.15,0,0,0,0.037504149,0.036895497,0.036592302,0.0380233
5.17,0,0,0,0.037061066,0.038382139,0.036644227,0.039280444
5.19,0,0,0,0.037383178,0.037656003,0.036397059,0.039178581
5.2,0,0,0,0.03652622,0.037564767,0.036376073,0.03849036
5.22,0,0,0,0.036677619,0.038146536,0.03595011,0.038521533
5.24,0,0,0,0.036451437,0.037243688,0.036370361,0.038566181
5.25,0,0,0,0.036619295,0.037429428,0.036065771,0.038259714
5.27,0,0,0,0.037057349,0.036271142,0.036207314,0.03847981
5.29,0,0,0,0.036557846,0.037652192,0.035801368,0.038370096
5.3,0,0,0,0.036856162,0.037322946,0.035929559,0.038639061
5.32,0,0,0,0.037039913,0.037563154,0.036098264,0.038701875
5.34,0,0,0,0.036982478,0.038428086,0.03582401,0.038734537
5.35,0,0,0,0.035966361,0.038808151,0.036043538,0.037801542
5.37,0,0,0,0.037066947,0.037832467,0.03596062,0.038718737
5.39,0,0,0,0.03762651,0.038219529,0.035864979,0.038561112
5.41,0,0,0,0.038138891,0.038082882,0.035765959,0.03790841
5.42,0,0,0,0.037119525,0.037778756,0.035702142,0.038338875
5.44,0,0,0,0.038080197,0.037750038,0.035626606,0.038282985
5.46,0,0,0,0.03725281,0.037180314,0.035353535,0.038169918
5.47,0,0,0,0.037469388,0.037094499,0.035447655,0.038627477
5.49,0,0,0,0.037307314,0.03700565,0.035465769,0.038514353
5.51,0,0,0,0.036847982,0.036545075,0.035286285,0.037761545
5.52,0,0,0,0.036359426,0.036827195,0.035704165,0.037596283
5.54,0,0,0,0.036020583,0.038291163,0.035450112,0.037304305
5.56,0,0,0,0.037039962,0.03648112,0.035180159,0.038577255
5.57,0,0,0,0.036600496,0.037303528,0.035147152,0.037665253
5.59,0,0,0,0.035581062,3.80E-02,0.035198892,0.037775782
5.61,0,0,0,0.036452461,3.72E-02,0.035544237,0.038231383
5.62,0,0,0,0.036384181,3.82E-02,0.035737598,0.038887332
5.64,0,0,0,0.036469507,3.83E-02,0.035392535,0.039163553
5.66,0,0,0,0.037510305,3.89E-02,0.035316184,0.039067513
5.67,0,0,0,0.037685638,3.79E-02,0.03528215,0.038531862
5.69,0,0,0,0.03774396,3.75E-02,0.035088637,0.038067543
5.71,0,0,0,0.037171951,3.76E-02,0.034881918,0.038110749
5.72,0,0,0,0.036774194,3.64E-02,0.035085882,0.038713158
5.74,0,0,0,0.037474707,3.68E-02,0.034995082,0.03832201
5.76,0,0,0,0.03808643,3.72E-02,0.034904735,0.037444242
5.77,0,0,0,0.037155512,3.73E-02,0.034946787,0.038325903
5.79,0,0,0,0.036724722,3.66E-02,0.034858274,0.038719185
5.81,0,0,0,0.037550689,3.69E-02,0.034635924,0.037209587
5.82,0,0,0,0.036274139,3.65E-02,0.034803134,0.038237954
5.84,0,0,0,0.036594059,0.037278854,0.035096695,0.03695931
5.86,0,0,0,0.036869884,0.037278271,0.034472496,0.037385417
5.87,0,0,0,0.036118676,0.037211628,0.03436324,0.037529749
5.89,0,0,0,0.036405708,0.037674216,0.03460003,0.03746594
5.91,0,0,0,0.036562931,0.037767329,0.034549134,0.038890419
5.92,0,0,0,0.036401925,0.037210665,0.034356062,0.038458934
5.94,0,0,0,0.035719409,0.037335502,0.03475537,0.038746794
5.96,0,0,0,0.036625887,0.038101044,0.034379382,0.038647343
5.97,0,0,0,0.037070524,0.037577365,0.034481079,0.038099686
5.99,0,0,0,0.036786297,0.03699042,0.034141073,0.038377938
6.01,0,0,0,0.038454769,3.76E-02,0.034118756,0.038144399
6.02,0,0,0,0.037801563,3.72E-02,0.033946317,0.037630308
6.04,0,0,0,0.03815812,3.76E-02,0.033851948,0.037650506
6.06,0,0,0,0.03645506,3.63E-02,0.034247535,0.03858692
6.07,0,0,0,0.036848204,3.59E-02,0.033828052,0.03822188
6.09,0,0,0,0.035980149,0.036164135,0.033964492,0.037491394
6.11,0,0,0,0.037025465,3.81E-02,0.033541442,0.03764249
6.12,0,0,0,0.036254007,3.74E-02,0.033621181,0.038656021
6.14,0,0,0,0.036477891,0.037082462,0.034047748,0.038481338
6.16,0,0,0,0.036292409,0.037414711,0.033580269,0.037643308
6.17,0,0,0,0.036801454,0.038565307,0.034098181,0.037739311
6.19,0,0,0,0.036241108,0.037445423,0.033682174,0.037411217
6.21,0,0,0,0.037743675,0.036972723,0.033857531,0.038921744
6.22,0,0,0,0.036889251,0.037706381,0.033726597,0.038976945
6.24,0,0,0,0.037235357,0.037199913,0.03375857,0.038422026
6.26,0,0,0,0.036311104,3.68E-02,0.033866209,0.038521852
6.27,0,0,0,0.036879433,3.76E-02,0.033636015,0.039450004
6.29,0,0,0,0.036679537,3.72E-02,0.033714656,0.038000937
6.31,0,0,0,0.036635544,3.75E-02,0.03345041,0.038044189
6.32,0,0,0,0.037167012,0.037037037,0.033637571,0.038930452
6.34,0,0,0,0.03686043,3.71E-02,0.033382973,0.038020086
6.36,0,0,0,0.036863845,3.65E-02,0.033270716,0.039045405
6.37,0,0,0,0.036677941,3.75E-02,0.033233726,0.038192439
6.39,0,0,0,0.036236119,3.80E-02,0.033209882,0.038402662
6.41,0,0,0,0.036929591,3.75E-02,0.033321113,0.037254417
6.42,0,0,0,0.037046024,3.84E-02,0.033142857,0.038243448
6.44,0,0,0,0.037622081,3.73E-02,0.033363134,0.037383749
6.46,0,0,0,0.038399714,3.79E-02,0.032688484,0.038646037
6.47,0,0,0,0.037310269,3.79E-02,0.033284977,0.039470922
6.49,0,0,0,0.03706177,0.037715763,0.033192835,0.038733861
6.51,0,0,0,0.037103924,0.036569809,0.032928065,0.039255762
6.52,0,0,0,0.036715203,3.68E-02,0.032831254,0.038941347
6.54,0,0,0,0.036736641,3.69E-02,0.032869785,0.038870478
6.56,0,0,0,0.037161352,3.71E-02,0.032938127,0.038093365
6.57,0,0,0,0.036455156,3.67E-02,0.033082884,0.038544766
6.59,0,0,0,0.0368263,0.037102225,0.032870653,0.037785476
6.61,0,0,0,0.036690264,0.036500233,0.03314547,0.038456499
6.62,0,0,0,0.036736272,0.038214636,0.03270464,0.038738315
6.64,0,0,0,0.036032156,0.036889541,0.032838303,0.038207058
6.66,0,0,0,0.036695874,0.036551078,0.032847672,0.038171384
6.67,0,0,0,0.036617996,0.037062743,0.032848826,0.038474273
